track_name,artists
All or Nothing,aftrr!
Agoraphobia,ericdoa
The Band,"glaive, kurtains"
Get Used to Me,Sorisa
one kiss,Bhertuy
Same LA,Tiffany Day
somebody else,aidn.
(ㅜ_ㅜ),tsubi club
two bad,2hollis
2010 Justin Bieber,Lucy Bedroque
Limerence,aftrr!
Melody I Can Finish,Sorisa
maybe,"aidn., doug suh"
The Troubles,"glaive, kurtains"
LEGACY,PIXY
one percent,Steele 11
you let me down,"oliviajones34596070, twentythree"
Dopest Girl,Feng
Isis,oopsy
pretty boy money,osk
CARRY MY WINGS,00A72
tell me,lustr
WHAT IS FOREVER FOR,Frost Children
Wayside,Ninajirachi
TABLOID TALK (feat. Underscores),"Aries, underscores"
KEEP IT COOL,"Internet Money, Rich Amiri"
slim body bitch,predayed
DEXTER,Nzino
back & forth (feat. 2hollis),"nate sib, 2hollis"
CONSTANTLY,"Tiffany Day, slayr"
RADIO (feat. Kim Petras),"Frost Children, Kim Petras"
euro,Steele 11
Falling,Frost Children
nice spirits / sentimental,jequya
Track 10,Charli XCX
AMERICAN GIRL,Tiffany Day
EVERYTHING I'VE EVER WANTED,Tiffany Day
BREAKUP,Tiffany Day
crush,2hollis
gold,2hollis
destroy me,2hollis
party 4 u,Charli XCX
MAKE IT RIGHT,daine
stardust,ethn reis
serpent,Steele 11
Hit A Wall,$now Candido
DREAMS ABT OPTIMISM,Tiffany Day
all of the lights 2hollis remix,ZOMGGmusic(>ω<)
leave this all behind,ethn reis
I want ya,kurtains
do u dream,"aidn., doug suh"
dream about me,Reid
One Man Army,aftrr!
so bad,fawn burke
Enjoy Yourself - very cool tutorials Remix,"berryblue, very cool tutorials"
city girl,Reid
Telephone,"Elxnce, Cece Natalie"
solitude,tonser
nice (cross rebirth),2cross22
thefray,aidn.
worth 2 try,aftrr!
loud (right now),fawn burke
I never wanted anything so badly,yeongseo
BEAT UP CHANEL$,Slayyyter
Destiny,"Thaiboy Digital, swedm"
Holding,slayr
Love Blur,slayr
Music Baby,Jane Remover
Fuck My Computer - Frost Children Remix,"Ninajirachi, Frost Children"
get some,"zxemnaschrist, pryme!, fss"
iPod Touch,Ninajirachi
Phone (Interlude),"slayr, TJAYY"
Eyelash,Bladee
choosing you,sam02
without u,longq
PRESSURE,Kidd Phantom
just friends,zarallanie
AM I WRONG?,Moors
YES,minj
Hot Fun,The Hellp
wink,Bhertuy
Miracle,Cece Natalie
LITTLE BIT,Moors
Exitin,Cece Natalie
Eyesight,slayr
L.U.C.K.Y,Fcukers
Need For Speed,Kim Petras
ny2mia,nephillm
Out Of Focus,Spratta
Let You Go,nate sib
stupidlifeXD,aidn.
Don't mek me cry,Frost Children
Tune In,Tommy Fleece
Satellites,Frost Children
WannaCry,"Ninajirachi, Porter Robinson"
White cat,Yves
I Choose You,f5ve
good day,subiibabii
Capable of love,Pink Patheress
23,halfaded
754 - Alternate,Cece Natalie
The Peace,underscores
Ain't In LA,ADÈLA
Love Love (Love Love),daine
Afterlife,Frost Children
